,title,year,duration,stars,people,image_url
169,Trainspotting,1996,1h 33m,"8,1", 736 mil,"https://m.media-amazon.com/images/M/MV5BMTcwNzkwOTA0N15BMl5BanBnXkFtZTgwNDQ5NDQxMDE@._V1_QL75_UY207_CR7,0,140,207_.jpg"
170,El puente sobre el río Kwai,1957,2h 41m,"8,1", 237 mil,"https://m.media-amazon.com/images/M/MV5BYmNkMGZjM2EtZDE0Ni00Zjg5LWE0YjQtNWYwMDFlZGY4NGE5XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
171,Klaus,2019,1h 36m,"8,2", 195 mil,"https://m.media-amazon.com/images/M/MV5BM2Q2Njg3ZmQtMDlmZi00NzE5LWJlOWYtY2I5NzhiZDdmNTk3XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
172,Atrápame si puedes,2002,2h 21m,"8,1"," 1,1 M","https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX140_CR0,0,140,207_.jpg"
173,Fargo,1996,1h 38m,"8,1", 738 mil,"https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
174,Warrior,2011,2h 20m,"8,1", 504 mil,"https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_QL75_UX140_CR0,4,140,207_.jpg"
175,Spider-Man: No Way Home,2021,2h 28m,"8,2", 909 mil,"https://m.media-amazon.com/images/M/MV5BYTA1NTYyZDMtMjliYy00YTlhLTgzNDAtODc3ZTE5OWZkMjY1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
176,Gran Torino,2008,1h 56m,"8,1", 825 mil,"https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
177,Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,"8,1", 967 mil,"https://m.media-amazon.com/images/M/MV5BNWY5MDMwYjQtZDU0NS00MTAwLWFlMDUtODA5YjMzNjdmYzJkXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
178,Million Dollar Baby,2004,2h 12m,"8,1", 731 mil,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
179,Mi vecino Totoro,1988,1h 26m,"8,1", 392 mil,"https://m.media-amazon.com/images/M/MV5BNzhjNTQ5N2UtZjAxMS00NDVlLTg2ZWMtMDAzZDY0NGEyYzU4XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
180,Mad Max: Furia en la carretera,2015,2h,"8,1"," 1,1 M","https://m.media-amazon.com/images/M/MV5BMmRlNzFmMzYtMGRiZC00ZWE4LWIwM2UtMWUyMzAyMzQ4YTc3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
181,Children of Heaven,1997,1h 29m,"8,2", 83 mil,"https://m.media-amazon.com/images/M/MV5BZWZlMjNhNzgtZGRhOS00Y2U5LThjOTctODNjZTI0ZTBiYzBhXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg"
182,Ben-Hur,1959,3h 32m,"8,1", 257 mil,"https://m.media-amazon.com/images/M/MV5BMWE0MDI3MzMtNzMwNS00OTg3LTlhNDYtNjljYzI5ZDk2NWQzXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
183,12 años de esclavitud,2013,2h 14m,"8,1", 751 mil,"https://m.media-amazon.com/images/M/MV5BY2YyMGQ4MzctZmJmZC00MjBiLWIxZTktZGVmMzUyZDU5YWZkXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
184,Barry Lyndon,1975,3h 5m,"8,1", 187 mil,"https://m.media-amazon.com/images/M/MV5BNTc2NTM3YTUtMWY2OC00N2ZiLTlmNjEtNzc3MWUyMDQxODk1XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
185,Antes de amanecer,1995,1h 41m,"8,1", 347 mil,"https://m.media-amazon.com/images/M/MV5BMTIxMmRiMTAtMzY2ZC00Njg2LWEwMzAtMzVmOTgwZTZiNzZkXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
186,Blade Runner,1982,1h 57m,"8,1", 836 mil,"https://m.media-amazon.com/images/M/MV5BMTU2NjUzNTE0N15BMl5BanBnXkFtZTcwMzA3MjI4OQ@@._V1_QL75_UY207_CR4,0,140,207_.jpg"
187,El gran hotel Budapest,2014,1h 39m,"8,1", 903 mil,"https://m.media-amazon.com/images/M/MV5BMDAyM2NiMzktNWM3ZC00MDk2LTg0NjItMzNkM2IxODhlZTE4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
188,Hasta el último hombre (Hacksaw Ridge),2016,2h 19m,"8,1", 612 mil,"https://m.media-amazon.com/images/M/MV5BNGI0M2ZlNGQtMTI3Yi00MTU4LTgzZTEtMDQ5Mzg0ZmMzMDVjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
