,title,href,points,by,hours ago,comments
101,Portugal seeks to become low-tax haven for young people,https://www.ft.com/content/41dd7994-3b1f-4562-a59f-11879b5e3f68,96,alephnerd,21,228
102,"Indian entrepreneur, industrialist, and philanthropist, Ratan Tata, dead at 86",https://en.wikipedia.org/wiki/Ratan_Tata,360,Brajeshwar,1,128
103,'Nearly unusable': Calif. police majorly push back on Tesla cop cars,https://www.sfgate.com/bayarea/article/california-switch-electric-cars-cops-19816671.php,12,jayantbhawal,4,discuss
104,Motion (YC W20) is hiring our first customer success manager,https://jobs.ashbyhq.com/motion/f1a2ebd8-c390-4d23-89e7-519979f4630b?utm_source=hn,,1,,
105,Dito – an advanced Layer 7 reverse proxy server written in Go,https://github.com/andrearaponi/dito,,,,
106,US weighs Google break-up in landmark antitrust case,https://www.ft.com/content/f6e84608-e0e5-48c5-a0eb-dde7675fb608,,,,
107,'Entire ecosystem' of fossils 8.7M years old found under Los Angeles high school,https://www.theguardian.com/us-news/2024/sep/15/fossils-los-angeles-high-school,,,,
108,Configuring the XpPen ACK05 Remote with Only Floss on GNU/Linux: My Investigati,https://www.davidrevoy.com/article1047/configuring-the-xppen-ack05-remote-with-only-floss-on-gnulinux-my-investigation-and-workarounds,,,,
109,WASM Is the New CGI,https://roborooter.com/post/wasm-is-the-new-cgi/,,,,
110,Akihito and the Sorrows of Japan (2020),https://www.lrb.co.uk/the-paper/v42/n06/richard-lloyd-parry/akihito-and-the-sorrows-of-japan,,,,
111,Show HN: Donobu – Mac App for Web Automation and Testing,https://www.donobu.com/,,,,
112,"On 17th century ""cocaine""",https://resobscura.substack.com/p/on-17th-century-cocaine,,,,
113,Studios: Please don't spoil the movie we are seated to see,http://fxrant.blogspot.com/2024/06/studios-dont-spoil-movie-we-are-seated.html,,,,
114,Wafer Scale and Trilogy Systems: Part 1,https://thechipletter.substack.com/p/wafer-scale-trilogy-systems-part,,,,
115,Local Variables as Accidental Breadcrumbs for Faster Debugging,https://www.bugsink.com/blog/local-variables-as-accidental-breadcrumbs/,,,,
116,The Rails Doctrine,https://rubyonrails.org/doctrine,,,,
117,WebPKI – Introduce Schedule of Reducing Validity (Of TLS Server Certificates),https://github.com/cabforum/servercert/pull/553/files,,,,
118,Man Learns He's Being Dumped via 'Dystopian' Apple Intelligence Summary of Texts,https://arstechnica.com/ai/2024/10/man-learns-hes-being-dumped-via-dystopian-ai-summary-of-texts/,,,,
119,G4 (Severe) Geomagnetic Storming Observed,https://www.swpc.noaa.gov/news/g4-severe-geomagnetic-storming-observed-0,,,,
120,Zod: TypeScript-first schema validation with static type inference,https://zod.dev/,239,tosh,1,192
121,An n-ball Between n-balls,https://www.arnaldur.be/writing/about/an-n-ball-between-n-balls,238,Hugsun,1,54
122,HTML for People,https://www.htmlforpeople.com,4,todsacerdoti,14,discuss
123,Who died and left the US $7B?,https://sherwood.news/power/who-died-and-left-the-us-7-billion-fayez-sarofim/,441,jsnell,2,524
124,The Semantic Reader Project: Augmenting Scholarly Documents with AI,https://cacm.acm.org/research/the-semantic-reader-project/,4,mitchbob,14,discuss
125,Boxedwine is an emulator that runs Windows applications,https://www.boxedwine.org/,5,marcodiego,14,4
126,"Ask HN: Anyone learned art (drawing, caricature etc.) as an adult?",item?id=41756978,80,akudha,1,80
127,arxiv.org,from?site=arxiv.org,311,InvisibleUp,2,113
128,arxiv.org,from?site=arxiv.org,550,weirdcat,2,173
129,cnbc.com,from?site=cnbc.com,7,teleforce,10,discuss
130,universiteitleiden.nl,from?site=universiteitleiden.nl,157,gpvos,1,54
131,ploum.net,from?site=ploum.net,149,andai,3,125
132,cedardb.com,from?site=cedardb.com,8,eatonphil,15,discuss
133,aljazeera.com,from?site=aljazeera.com,65,ricardoplouis,20,49
134,rethinkingsoftware.substack.com,from?site=rethinkingsoftware.substack.com,87,rbanffy,1,124
135,dookiedemastered.com,from?site=dookiedemastered.com,769,nickthegreek,1,198
136,finetunedb.com,from?site=finetunedb.com,148,felix089,1,67
137,janestreet.com,from?site=janestreet.com,34,paulpauper,18,6
138,fluffyandflakey.blog,from?site=fluffyandflakey.blog,3,luu,16,2
139,levels.fyi,from?site=levels.fyi,211,zuhayeer,1,150
140,kristoff.it,from?site=kristoff.it,527,alraj,3,361
141,cnbc.com,from?site=cnbc.com,22,emrah,14,26
142,luckymike.dev,from?site=luckymike.dev,196,mooreds,1,50
143,theguardian.com,from?site=theguardian.com,224,pseudolus,1,553
144,nature.com,from?site=nature.com,57,_justinfunk,2,8
145,lwn.net,from?site=lwn.net,41,signa11,9,12
146,nullonerror.org,from?site=nullonerror.org,291,delduca,2,163
147,player.style,from?site=player.style,381,Heff,2,63
148,github.com/google,from?site=github.com/google,93,gnabgib,1,45
149,Kernighan's Lever (2012),https://www.linusakesson.net/programming/kernighans-lever/index.php,95,tosh,3,18
150,Show HN: I made an SSH tunnel manager to learn Go,https://github.com/alebeck/boring,209,0x12A,2,66
151,Gustav Klimt's Obsession with Gold,https://news.artnet.com/art-world-archives/gustav-klimt-gold-2543498,106,pseudolus,2,40
152,Fast B-Trees,https://www.scattered-thoughts.net/writing/smolderingly-fast-btrees/,270,surprisetalk,4,64
153,The mystery of why left-handers are so much rarer (2016),https://www.bbc.com/future/article/20160930-the-mystery-of-why-left-handers-are-so-much-rarer,103,blubbb,2,277
154,Against dystopian views of high-speed audiobook listening,https://dynomight.substack.com/p/audiobooks,6,gregorymichael,18,discuss
155,The missing middle: firms in developing countries,https://asteriskmag.com/issues/07/want-growth-kill-small-businesses,100,falcor84,2,182
156,Show HN: My microkernel-based OS built from scratch now has basic Unix commands,https://github.com/lux-operating-system/kernel,64,jewelcodesxo,2,8
157,"Wordpress.org Login: ""I am not affiliated with WP Engine in any way""",https://www.404media.co/wordpress-checkbox-login-wp-engine/,195,notamy,1,234
158,Cognizant found guilty of discriminating against non-Indian employees,https://www.siliconvalley.com/2024/10/07/h-1b-visa-company-supplying-thousands-of-tech-workers-to-silicon-valley-discriminated-against-non-indians-jury-finds/,425,Melchizedek,2,398
159,FreeWP Is Here to Shake Up the WordPress Ecosystem,https://freewp.com/,62,rpgbr,11,43
160,How to make Product give a shit about your architecture proposal,https://gieseanw.wordpress.com/2024/10/09/how-to-make-product-give-a-shit-about-your-architecture-proposal/,160,andyg_blog,1,142
161,Apple Hosts Secretive Conferences to Teach Law Enforcement,https://www.macrumors.com/2024/10/10/apple-law-enforcement-conferences/,8,mgh2,10,discuss
162,Building a robust data synchronization framework with Rails,https://pcreux.com/2024/10/07/rails-data-sync-service.html,75,pcreux,2,8
163,What Is LibreDrive (2019),https://forum.makemkv.com/forum/viewtopic.php?t=18856,150,Tomte,2,38
164,"Black Hole Destroys Star, Goes After Another, NASA Missions Find",https://chandra.si.edu/photo/2024/tde/,18,raattgift,1,3
165,Retrieval powered by object storage: AMA,item?id=41803154,15,jeffchuber,14,7
166,rwblickhan.org,from?site=rwblickhan.org,148,yu3zhou4,1,65
167,eriksen.com.br,from?site=eriksen.com.br,423,eriksencosta,2,227
168,sq.io,from?site=sq.io,601,stavepan,4,129
169,surfingcomplexity.blog,from?site=surfingcomplexity.blog,41,ingve,2,1
170,phoronix.com,from?site=phoronix.com,23,mfiguiere,16,10
171,engadget.com,from?site=engadget.com,4,bookofjoe,9,discuss
172,Miqt: MIT-licensed Qt bindings for Go,https://github.com/mappu/miqt,74,wkyleg,1,75
173,"Next.js, Just Why?",https://pilcrowonpaper.com/blog/nextjs-why/,109,todsacerdoti,2,82
174,SpaceX Dragon receives propulsive landing upgrade after years of development,https://www.nasaspaceflight.com/2024/10/dragon-propulsive-landing/,52,swyx,14,31
175,A modest critique of Htmx,https://chrisdone.com/posts/htmx-critique/,4,LorenDB,9,discuss
